Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Rob Walton,59.5,United States,Walmart,19,76.0,"Bentonville, Arkansas",United States,Married,3.0,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",False,POINT (-94.2088172 36.3728538)
Michael Bloomberg,59.0,United States,Bloomberg LP,20,79.0,"New York, New York",United States,In Relationship,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",True,POINT (-74.00601519999999 40.7127281)
Colin Zheng Huang,55.3,China,e-commerce,21,41.0,"Shanghai, China",China,,,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",True,POINT (121.4692071 31.2322758)
MacKenzie Scott,53.0,United States,Amazon,22,51.0,"Seattle, Washington",United States,Married,4.0,"Bachelor of Arts/Science, Princeton University",False,POINT (-122.3300624 47.6038321)
Daniel Gilbert,51.9,United States,Quicken Loans,23,59.0,"Franklin, Michigan",United States,Married,5.0,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",True,POINT (-83.3060432 42.5222567)
Gautam Adani & family,50.5,India,"infrastructure, commodities",24,58.0,"Ahmedabad, India",India,Married,2.0,,True,POINT (72.5797068 23.0216238)
Phil Knight & family,49.9,United States,Nike,25,83.0,"Hillsboro, Oregon",United States,Married,3.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",True,POINT (-122.989827 45.5228939)
Jack Ma,48.4,China,e-commerce,26,56.0,"Hangzhou, China",China,Married,,"Bachelor of Arts/Science, Hangzhou Teacher's Institute",True,POINT (120.2052342 30.2489634)
Charles Koch,46.4,United States,Koch Industries,27,85.0,"Wichita, Kansas",United States,Married,2.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",False,POINT (-97.3375448 37.6922361)
Julia Koch & family,46.4,United States,Koch Industries,27,59.0,"New York, New York",United States,Widowed,3.0,,False,POINT (-74.00601519999999 40.7127281)
Masayoshi Son,45.4,Japan,"internet, telecom",29,63.0,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, University of California, Berkeley",True,POINT (139.7594549 35.6828387)
Michael Dell,45.1,United States,Dell computers,30,56.0,"Austin, Texas",United States,Married,4.0,"Drop Out, The University of Texas at Austin",True,POINT (-97.74369950000001 30.2711286)
Tadashi Yanai & family,44.1,Japan,fashion retail,31,72.0,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, Waseda University",True,POINT (139.7594549 35.6828387)
François Pinault & family,42.3,France,luxury goods,32,84.0,"Paris, France",France,Married,3.0,"Drop Out, High School",True,POINT (2.3514616 48.8566969)
David Thomson & family,41.8,Canada,media,33,63.0,"Toronto, Canada",Canada,Divorced,4.0,"Master of Arts, University of Cambridge",False,POINT (-79.3839347 43.6534817)
Beate Heister & Karl Albrecht Jr.,39.2,Germany,supermarkets,34,,Germany,Germany,,,,False,POINT (10.4234469 51.0834196)
Wang Wei,39.0,China,package delivery,35,50.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
Miriam Adelson,38.2,United States,casinos,36,75.0,"Las Vegas, Nevada",United States,Widowed,5.0,"Bachelor of Science, Hebrew University Jerusalem",False,POINT (-115.148516 36.1672559)
He Xiangjian,37.7,China,home appliances,37,78.0,"Foshan, China",China,Married,3.0,,True,POINT (113.1146335 23.0247687)
Dieter Schwarz,36.9,Germany,retail,38,81.0,"Neckarsulm, Germany",Germany,Married,2.0,,False,POINT (9.224944300000001 49.191735)
Zhang Yiming,35.6,China,TikTok,39,37.0,"Beijing, China",China,,,"Bachelor of Engineering, Nankai University",True,POINT (116.3912757 39.906217)
Giovanni Ferrero,35.1,Italy,"Nutella, chocolates",40,56.0,"Brussels, Belgium",Italy,Married,2.0,,False,POINT (4.351697 50.8465573)
Alain Wertheimer,34.5,France,Chanel,41,72.0,"New York, New York",France,Married,3.0,,False,POINT (-74.00601519999999 40.7127281)
Gerard Wertheimer,34.5,France,Chanel,41,70.0,"New York, New York",France,Married,2.0,,False,POINT (-74.00601519999999 40.7127281)
Li Ka-shing,33.7,Hong Kong,diversified,43,92.0,Hong Kong,Hong Kong,Widowed,2.0,"Drop Out, High School",True,POINT (114.1628131 22.2793278)
Qin Yinglin & family,33.5,China,pig breeding,44,56.0,"Nanyang, China",China,Married,,,True,POINT (112.5292693 33.0010496)
William Lei Ding,33.0,China,online games,45,49.0,"Hangzhou, China",China,,,"Bachelor of Arts/Science, University of Electronic Science and Technology of China",True,POINT (120.2052342 30.2489634)
Len Blavatnik,32.0,United States,"music, chemicals",46,63.0,"London, United Kingdom",United States,Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",True,POINT (-0.1276474 51.5073219)
Lee Shau Kee,31.7,Hong Kong,real estate,47,93.0,"Hong Kong, Hong Kong",Hong Kong,Divorced,5.0,,True,POINT (114.1628131 22.2793278)
Jacqueline Mars,31.3,United States,"candy, pet food",48,81.0,"The Plains, Virginia",United States,Divorced,3.0,"Bachelor of Arts/Science, Bryn Mawr College",False,POINT (-77.774073 38.8624506)
John Mars,31.3,United States,"candy, pet food",48,85.0,"Jackson, Wyoming",United States,Married,3.0,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",False,POINT (-110.761815 43.479965)
Yang Huiyan & family,29.6,China,real estate,50,39.0,"Foshan, China",China,Married,,"Bachelor of Arts/Science, Ohio State University",False,POINT (113.1146335 23.0247687)
Alexey Mordashov & family,29.1,Russia,"steel, investments",51,55.0,"Moscow, Russia",Russia,Married,7.0,"Bachelor of Arts/Science, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",True,POINT (37.6174943 55.7504461)
Robin Zeng,28.4,Hong Kong,batteries,52,52.0,"Ningde, China",Hong Kong,,,"Doctorate, Chinese Academy of Social Sciences",True,POINT (119.5432715 26.6695006)
Hui Ka Yan,27.7,China,real estate,53,62.0,"Shenzhen, China",China,Married,2.0,"Bachelor of Arts/Science, Wuhan U of  Science & Tec",True,POINT (114.0543297 22.555454)
Susanne Klatten,27.7,Germany,"BMW, pharmaceuticals",53,59.0,"Bad Homburg, Germany",Germany,Married,3.0,"Master of Business Administration, International Institute for Management and Development",False,POINT (8.6287451 50.2227094)
Vladimir Potanin,27.0,Russia,metals,55,60.0,"Moscow, Russia",Russia,Married,7.0,"Bachelor of Arts/Science, Moscow Institute of International Relations",True,POINT (37.6174943 55.7504461)
Dietrich Mateschitz,26.9,Austria,Red Bull,56,76.0,"Fuschl am See, Austria",Austria,Single,1.0,"Master of Business Administration, University of Vienna",True,POINT (13.3027787 47.7963895)
Pang Kang,26.4,China,soy sauce,57,65.0,"Foshan, China",China,,,,True,POINT (113.1146335 23.0247687)
Klaus-Michael Kuehne,26.3,Germany,shipping,58,83.0,"Schindellegi, Switzerland",Germany,Married,,,False,POINT (8.711202699999999 47.175612)
Vladimir Lisin,26.2,Russia,"steel, transport",59,65.0,"Moscow, Russia",Russia,Married,3.0,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute",True,POINT (37.6174943 55.7504461)
Wang Xing,26.1,China,e-commerce,60,42.0,"Beijing, China",China,,,"Graduate, Tsinghua University",True,POINT (116.3912757 39.906217)
German Larrea Mota Velasco & family,25.9,Mexico,mining,61,67.0,"Mexico City, Mexico",Mexico,Married,,,False,POINT (-99.1331785 19.4326296)
Leonardo Del Vecchio & family,25.8,Italy,eyeglasses,62,85.0,"Milan, Italy",Italy,Married,6.0,,True,POINT (9.1905 45.4668)
Takemitsu Takizaki,25.8,Japan,sensors,62,75.0,"Osaka, Japan",Japan,Married,,,True,POINT (135.490357 34.6198813)
Leonard Lauder,25.5,United States,Estee Lauder,64,88.0,"New York, New York",United States,"Widowed, Remarried",2.0,"Bachelor of Arts/Science, University of Pennsylvania",False,POINT (-74.00601519999999 40.7127281)
Thomas Peterffy,25.0,United States,discount brokerage,65,76.0,"Palm Beach, Florida",United States,Divorced,3.0,"Drop Out, New York University",True,POINT (-80.4494174 26.6279798)
Vagit Alekperov,24.9,Russia,oil,66,70.0,"Moscow, Russia",Russia,Married,1.0,"Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",True,POINT (37.6174943 55.7504461)
Leonid Mikhelson,24.9,Russia,"gas, chemicals",66,65.0,"Moscow, Russia",Russia,Married,2.0,"Bachelor of Arts/Science, Kuybyshev Engineering and Construction Institute",True,POINT (37.6174943 55.7504461)
Jim Simons,24.6,United States,hedge funds,68,83.0,"East Setauket, New York",United States,Married,3.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",True,POINT (-73.10585589999999 40.9418427)
Jiang Rensheng & family,24.4,China,vaccines,69,67.0,"Chongqing, China",China,Married,1.0,"Associate in Arts/Science, Guilin Medical University",True,POINT (106.5478767 29.5647398)
Gina Rinehart,23.6,Australia,mining,70,67.0,"Perth, Australia",Australia,Widowed,4.0,,False,POINT (115.8854007 -31.9938566)
Rupert Murdoch & family,23.5,United States,"newspapers, TV network",71,90.0,"New York, New York",United States,Married,6.0,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",False,POINT (-74.00601519999999 40.7127281)
Shiv Nadar,23.5,India,software services,71,75.0,"Delhi, India",India,Married,1.0,"Bachelor of Arts/Science, PSG College of Technology",True,POINT (77.2219388 28.6517178)
Zhang Zhidong,23.4,China,internet media,73,49.0,"Shenzhen, China",China,,,"Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology",True,POINT (114.0543297 22.555454)
Iris Fontbona & family,23.3,Chile,mining,74,78.0,"Santiago, Chile",Chile,Widowed,3.0,,False,POINT (-70.65045019999999 -33.4377756)
Lei Jun,23.0,China,smartphones,75,51.0,"Beijing, China",China,Married,2.0,"Bachelor of Science in Engineering, Wuhan University",True,POINT (116.3912757 39.906217)
Zhang Yong,23.0,Singapore,restaurants,75,50.0,"Singapore, Singapore",Singapore,Married,,,True,POINT (103.8194992 1.357107)
Richard Qiangdong Liu,22.4,China,e-commerce,77,47.0,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Renmin University of China",True,POINT (116.3912757 39.906217)
Gennady Timchenko,22.0,Russia,"oil, gas",78,68.0,"Moscow, Russia",Russia,Married,3.0,"Bachelor of Arts/Science, Leningrad Mechanical Institute",True,POINT (37.6174943 55.7504461)
Stephen Schwarzman,21.9,United States,investments,79,74.0,"New York, New York",United States,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",True,POINT (-74.00601519999999 40.7127281)
Goh Cheng Liang,21.7,Singapore,paints,80,93.0,"Singapore, Singapore",Singapore,Widowed,3.0,,True,POINT (103.8194992 1.357107)
Stefan Quandt,21.6,Germany,BMW,81,54.0,"Frankfurt, Germany",Germany,Married,1.0,"Associate in Arts/Science, Technical University of Karlsruhe",False,POINT (8.682091700000001 50.1106444)
Li Xiting,21.5,Singapore,medical devices,82,70.0,"Shenzhen, China",Singapore,,,"Bachelor of Science, University of Science and Technology of China",True,POINT (114.0543297 22.555454)
Pierre Omidyar,21.4,United States,"eBay, PayPal",83,53.0,"Honolulu, Hawaii",United States,Married,3.0,"Bachelor of Arts/Science, Tufts University",True,POINT (-157.8556764 21.304547)
Stefan Persson,21.3,Sweden,H&M,84,73.0,"Stockholm, Sweden",Sweden,Married,3.0,"Associate in Arts/Science, University of Stockholm",False,POINT (18.0710935 59.3251172)
Abigail Johnson,20.9,United States,money management,85,59.0,"Milton, Massachusetts",United States,Married,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",False,POINT (-71.065573 42.2501425)
R. Budi Hartono,20.5,Indonesia,"banking, tobacco",86,80.0,"Kudus, Indonesia",Indonesia,Married,3.0,,False,POINT (110.838189 -6.8170915)
Andrew Forrest,20.4,Australia,mining,87,59.0,"Perth, Australia",Australia,Married,3.0,"Bachelor of Arts/Science, University of Western Australia",True,POINT (115.8854007 -31.9938566)
Ray Dalio,20.3,United States,hedge funds,88,71.0,"Greenwich, Connecticut",United States,Married,4.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University",True,POINT (-73.6284598 41.0264862)
Michael Hartono,19.7,Indonesia,"banking, tobacco",89,81.0,"Kudus, Indonesia",Indonesia,Married,4.0,,False,POINT (110.838189 -6.8170915)
Li Shufu,19.7,China,automobiles,89,57.0,"Hangzhou, China",China,Married,,"Master of Science, Yanshan University",True,POINT (120.2052342 30.2489634)
Zhong Huijuan,19.7,China,pharmaceuticals,89,60.0,"Shanghai, China",China,Married,,"EMBA, Nanjing University",True,POINT (121.4692071 31.2322758)
Xu Hang,19.5,Hong Kong,medical devices,92,54.0,"Shenzhen, China",Hong Kong,,,"EMBA, Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University",True,POINT (114.0543297 22.555454)
Lui Che Woo & family,19.4,Hong Kong,casinos/hotels,93,92.0,"Hong Kong, Hong Kong",Hong Kong,Married,5.0,,True,POINT (114.1628131 22.2793278)
Emmanuel Besnier,19.1,France,cheese,94,50.0,"Laval, France",France,,,,False,POINT (-0.7723499 48.0710377)
Laurene Powell Jobs & family,19.0,United States,"Apple, Disney",95,57.0,"Palo Alto, California",United States,Widowed,3.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",False,POINT (-122.1598465 37.4443293)
Eric Schmidt,18.9,United States,Google,96,66.0,"Atherton, California",United States,Married,2.0,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",True,POINT (-122.2058272 37.453773)
Sun Piaoyang,18.9,China,pharmaceuticals,96,62.0,"Lianyungang, China",China,Married,1.0,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",True,POINT (119.215813 34.5978596)
"Theo Albrecht, Jr. & family",18.8,Germany,"Aldi, Trader Joe's",98,70.0,"Mulheim an der Ruhr, Germany",Germany,,1.0,,False,POINT (6.8829192 51.4272925)
Alisher Usmanov,18.4,Russia,"steel, telecom, investments",99,67.0,"Moscow, Russia",Russia,Married,,"Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations",True,POINT (37.6174943 55.7504461)
Robert Pera,18.3,United States,wireless networking gear,100,43.0,"San Jose, California",United States,Single,,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",True,POINT (-121.890583 37.3361905)
Wu Yajun,18.3,China,real estate,100,57.0,"Beijing, China",China,Divorced,1.0,Northwestern Polytechnical University,True,POINT (116.3912757 39.906217)
Fan Hongwei & family,18.2,China,petrochemicals,102,54.0,"Wujiang, China",China,Married,,,True,POINT (120.6406744 31.1415158)
Dhanin Chearavanont,18.1,Thailand,diversified,103,82.0,"Bangkok, Thailand",Thailand,Married,5.0,,False,POINT (100.4930399 13.7544238)
Peter Woo,18.0,Hong Kong,real estate,104,74.0,"Hong Kong, Hong Kong",Hong Kong,Married,3.0,"Master of Business Administration, Columbia Business School",False,POINT (114.1628131 22.2793278)
Chen Bang,17.9,China,hospitals,105,55.0,"Changsha, China",China,Married,,"Master of Business Administration, Hunan University",True,POINT (112.9335861 28.2302056)
Andrey Melnichenko,17.9,Russia,"coal, fertilizers",105,49.0,"Moscow, Russia",Russia,Married,2.0,"Master of Science, Plekhanov Russian University of Economics",True,POINT (37.6174943 55.7504461)
Dustin Moskovitz,17.8,United States,Facebook,107,36.0,"San Francisco, California",United States,Married,,"Drop Out, Harvard University",True,POINT (-122.419906 37.7790262)
Su Hua,17.8,China,video streaming,107,39.0,"Beijing, China",China,,,"Bachelor of Science, Tsinghua University",True,POINT (116.3912757 39.906217)
Donald Newhouse,17.6,United States,media,109,91.0,"New York, New York",United States,Widowed,3.0,"Drop Out, Syracuse University",False,POINT (-74.00601519999999 40.7127281)
Petr Kellner,17.5,Czechia,"finance, telecommunications",110,,,Czechia,,4.0,"Bachelor of Arts/Science, University of Economics in Prague",True,POINT (15.4749544 49.8167003)
Lee Man Tat,17.4,Hong Kong,food,111,91.0,"Hong Kong, Hong Kong",Hong Kong,Married,5.0,,False,POINT (114.1628131 22.2793278)
Pavel Durov,17.2,Russia,messaging app,112,36.0,"Dubai, United Arab Emirates",Russia,Single,2.0,"Master of Science, Saint Petersburg State University",True,POINT (55.1885387 25.0742823)
James Ratcliffe,17.0,United Kingdom,chemicals,113,68.0,"London, United Kingdom",United Kingdom,Married,,,True,POINT (-0.1276474 51.5073219)
Jorge Paulo Lemann & family,16.9,Brazil,beer,114,81.0,"Zurich, Switzerland",Brazil,Married,5.0,"Bachelor of Arts/Science, Harvard University",True,POINT (8.5410422 47.3744489)
Reinhold Wuerth & family,16.8,Germany,fasteners,115,86.0,"Kuenzelsau, Germany",Germany,Married,3.0,,True,POINT (9.690151200000001 49.2803765)
Charlene de Carvalho-Heineken & family,16.7,Netherlands,Heineken,116,66.0,"London, United Kingdom",Netherlands,Married,5.0,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",False,POINT (-0.1276474 51.5073219)
Radhakishan Damani,16.5,India,"retail, investments",117,66.0,"Mumbai, India",India,Married,3.0,,True,POINT (72.8773928 19.0759899)
Wang Chuanfu,16.3,China,"batteries, automobiles",118,55.0,"Shenzhen, China",China,Married,,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology",True,POINT (114.0543297 22.555454)
Steve Cohen,16.0,United States,hedge funds,119,64.0,"Greenwich, Connecticut",United States,Married,7.0,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,POINT (-73.6284598 41.0264862)
Ken Griffin,16.0,United States,hedge funds,119,52.0,"Chicago, Illinois",United States,Divorced,3.0,"Bachelor of Arts/Science, Harvard University",True,POINT (-87.6244212 41.8755616)
Chen Zhiping,15.9,China,e-cigarettes,121,45.0,"Shenzhen, China",China,Married,,"Master, China Europe International Business School; Bachelor of Arts/Economics, Tongji University",True,POINT (114.0543297 22.555454)
"Ernest Garcia, II.",15.9,United States,used cars,121,63.0,"Tempe, Arizona",United States,Married,,"Bachelor of Science, Stanford University",True,POINT (-111.9400091 33.4255056)
Uday Kotak,15.9,India,banking,121,62.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, University of Bombay",True,POINT (72.8773928 19.0759899)
Carl Icahn,15.8,United States,investments,124,85.0,"Indian Creek, Florida",United States,Married,2.0,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University",True,POINT (-80.1372166 25.8771392)
Suleiman Kerimov & family,15.8,Russia,investments,124,55.0,"Moscow, Russia",Russia,Married,3.0,"Bachelor of Arts/Science, Dagestan State University",True,POINT (37.6174943 55.7504461)
"Thomas Frist, Jr. & family",15.7,United States,hospitals,126,82.0,"Nashville, Tennessee",United States,Married,3.0,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",True,POINT (-86.7743531 36.1622296)
Lukas Walton,15.6,United States,Walmart,127,34.0,"Jackson, Wyoming",United States,Single,,"Bachelor of Arts/Science, Colorado College",False,POINT (-110.761815 43.479965)
Mikhail Fridman,15.5,Russia,"oil, banking, telecom",128,57.0,"London, United Kingdom",Russia,Divorced,5.0,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",True,POINT (-0.1276474 51.5073219)
Wei Jianjun & family,15.5,China,automobiles,128,57.0,"Baoding, China",China,Married,,"Bachelor of Arts/Science, Hebei Province",True,POINT (115.490696 38.8579735)
Zuo Hui,15.5,China,real estate services,128,50.0,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
Zhou Qunfei & family,15.4,Hong Kong,smartphone screens,131,,"Hong Kong, Hong Kong",Hong Kong,Married,,,True,POINT (114.1628131 22.2793278)
Donald Bren,15.3,United States,real estate,132,88.0,"Newport Beach, California",United States,Married,7.0,"Bachelor of Arts/Science, University of Washington",True,POINT (-117.9294401 33.6170092)
Hinduja brothers,14.9,United Kingdom,diversified,133,,"London, United Kingdom",United Kingdom,,,,False,POINT (-0.1276474 51.5073219)
Lakshmi Mittal,14.9,India,steel,133,70.0,"London, United Kingdom",India,Married,2.0,"Bachelor of Arts/Science, St Xavier's College Calcutta",False,POINT (-0.1276474 51.5073219)
Georg Schaeffler,14.9,Germany,auto parts,133,56.0,"Herzogenaurach, Germany",Germany,Divorced,4.0,,False,POINT (10.8815262 49.5710376)
Eric Yuan & family,14.9,United States,video conferencing,133,51.0,"Santa Clara, California",United States,Married,3.0,"Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology",True,POINT (-121.6846349 37.2333253)
Wang Jianlin,14.8,China,real estate,137,66.0,"Beijing, China",China,Married,1.0,Liaoning University,True,POINT (116.3912757 39.906217)
Kwong Siu-hing,14.7,Hong Kong,real estate,138,91.0,"Hong Kong, Hong Kong",Hong Kong,Widowed,4.0,,False,POINT (114.1628131 22.2793278)
Robin Li,14.7,China,internet search,138,52.0,"Beijing, China",China,Married,4.0,"Bachelor of Arts/Science, Peking University; Master of Arts, University at Buffalo",True,POINT (116.3912757 39.906217)
Pallonji Mistry,14.6,Ireland,construction,140,91.0,"Mumbai, India",Ireland,Married,4.0,,False,POINT (72.8773928 19.0759899)
Eduardo Saverin,14.6,Brazil,Facebook,140,39.0,"Singapore, Singapore",Brazil,Married,1.0,"Bachelor of Arts/Science, Harvard University",True,POINT (103.8194992 1.357107)
Roman Abramovich,14.5,Russia,"steel, investments",142,54.0,"Moscow, Russia",Russia,Married,7.0,"Bachelor of Arts/Science, Moscow State Law Academy",True,POINT (37.6174943 55.7504461)
David Tepper,14.5,United States,hedge funds,142,63.0,New Jersey,United States,Married,3.0,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",True,POINT (-74.4041622 40.0757384)
Gong Hongjia & family,14.4,Hong Kong,video surveillance,144,56.0,"Hong Kong, Hong Kong",Hong Kong,Married,2.0,"Bachelor of Arts/Science, Huazhong University of Science and Technology",True,POINT (114.1628131 22.2793278)
Mike Cannon-Brookes,14.2,Australia,software,145,41.0,"Sydney, Australia",Australia,Married,2.0,"Bachelor of Arts/Science, University of New South Wales",True,POINT (151.0979607 -33.8641922)
"John Menard, Jr.",14.2,United States,home improvement stores,145,81.0,"Eau Claire, Wisconsin",United States,Married,6.0,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",True,POINT (-91.4984941 44.811349)
Seo Jung-jin,14.2,South Korea,biotech,145,63.0,"Seoul, South Korea",South Korea,Married,2.0,"Bachelor of Arts/Science, Konkuk University; Master of Science, Konkuk University",True,POINT (126.9782914 37.5666791)
Cheng Yixiao,14.1,China,video streaming app,148,37.0,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
Liang Wengen,14.1,China,construction equipment,148,64.0,"Changsha, China",China,Married,1.0,"Bachelor of Arts/Science, Central South University",True,POINT (112.9335861 28.2302056)
Scott Farquhar,14.0,Australia,software,150,41.0,"Sydney, Australia",Australia,Married,2.0,"Bachelor of Arts/Science, University of New South Wales",True,POINT (151.0979607 -33.8641922)
Finn Rausing,13.9,Sweden,packaging,151,66.0,"London, United Kingdom",Sweden,,,,False,POINT (-0.1276474 51.5073219)
Jorn Rausing,13.9,Sweden,packaging,151,61.0,"Surrey, United Kingdom",Sweden,,,,False,POINT (-0.3414524 51.2715316)
Kirsten Rausing,13.9,Sweden,packaging,151,68.0,"Newmarket, United Kingdom",Sweden,,,,False,POINT (0.4065503 52.2443103)
Brian Chesky,13.7,United States,Airbnb,154,39.0,"San Francisco, California",United States,Single,,"Bachelor of Arts/Science, Rhode Island School of Design",True,POINT (-122.419906 37.7790262)
Joseph Lau,13.6,Hong Kong,real estate,155,69.0,"Hong Kong, Hong Kong",Hong Kong,Divorced,6.0,,True,POINT (114.1628131 22.2793278)
David Duffield,13.5,United States,business software,156,80.0,"Incline Village, Nevada",United States,Married,10.0,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",True,POINT (-119.9519094 39.2501246)
Charoen Sirivadhanabhakdi,13.5,Thailand,"alcohol, real estate",156,77.0,"Bangkok, Thailand",Thailand,Married,5.0,,True,POINT (100.4930399 13.7544238)
